name,price
Apple 2022 맥북 프로 13 M2  스페이스 그레이  GPU 10코어  256GB  8GB  MNEH3KH/A,"1,548,350원"
Apple 2022 맥북 에어  스페이스그레이  M2 8코어  GPU 8코어  256GB  16GB  30W  한글  Z15S00035,"1,730,000원"
Apple 2022 맥북 에어  미드나이트  M2 8코어  GPU 8코어  256GB  8GB  30W  한글  MLY33KH/A,"1,436,500원"
Apple 맥북 에어 2022년 M2 8코어 미드나이트 (MLY33KH/A),"1,400,000원"
Apple 맥북 프로 14 2023년 M2 Pro 10코어 스페이스 그레이 (MPHE3KH/A),"2,469,000원"
Apple 맥북 에어 2020년형 M1 256G 스페이스 그레이 (MGN63KH/A),"1,238,990원"
Apple 맥북 에어 2022년 M2 8코어 실버 (MLXY3KH/A),"1,400,000원"
Apple 맥북 프로 14형 2021년 M1 Pro 8코어 스페이스 그레이 (MKGP3KH/A),"2,286,500원"
Apple 맥북 에어 2022년 M2 8코어 스타라이트 (MLY13KH/A),"1,450,540원"
Apple 맥북 프로 14 2023년 M2 Pro 10코어 실버 (MPHH3KH/A),"2,480,000원"
애플 맥북프로 16인치 M1 Pro 16GB/512GB,"2,188,800원"
"애플 맥북 프로 16인치 M2 Pro/Max, 2023","3,490,000원"
Apple 맥북 에어 2022년 M2 8코어 스페이스 그레이 (MLXW3KH/A),"1,510,000원"
Apple 맥북 에어 2020년형 M1 256G 실버 (MGN93KH/A),"1,251,000원"
Apple 맥북 프로 13형 2020년형 M1 256G 스페이스 그레이 (MYD82KH/A),"1,297,990원"
Apple 맥북 프로 13 2022년 M2 8코어 실버 (MNEP3KH/A),"1,548,000원"
애플 맥북에어 2020년형 Intel Core i3/i5 256G 512G,"766,080원"
Apple 맥북 프로 16형 2021년 M1 Max 10코어 실버 (MK1H3KH/A) ​,"3,374,700원"
Apple 맥북 프로 16 2023년 M2 Pro 12코어 스페이스 그레이 (MNW83KH/A),"3,086,500원"
Apple 맥북 프로 14 2023년 M2 Max 12코어 실버 (MPHK3KH/A),"3,141,000원"
Apple 맥북 프로 16형 2021년 M1 Pro 10코어 스페이스 그레이 (MK183KH/A),"2,821,730원"
Apple 맥북 에어 2020년형 M1 256G 골드 (MGND3KH/A),"1,192,250원"
Apple 맥북 에어 CTO 2022년 M2 (8 CPU 8 GPU)/16G/256G,"1,730,000원"
Apple 2023 맥북 프로 14 M2  스페이스그레이  M2 Pro 10코어  16코어  512GB  16GB  MPHE3KH/A  한글 A2779,"2,511,000원"
Apple 2020 맥북 에어 13  실버  M1  256GB  8GB  MGN93KH/A,"1,251,000원"
Apple 2023 맥북 프로 14  스페이스그레이  M2 Pro 12코어  19코어  1024GB  32GB  Z17H0003M  한글 A2779,"3,681,000원"
Apple 맥북 에어 2022년 M2 8코어 미드나이트 (MLY43KH/A),"1,479,000원"
Apple 맥북 프로 16 2023년 M2 Max 12코어 스페이스 그레이 (MNWA3KH/A),"4,356,000원"
Apple 맥북 프로 13 2022년 M2 8코어 스페이스 그레이 (MNEH3KH/A),"1,548,000원"
Apple 맥북 프로 16형 2021년 M1 Max 10코어 스페이스 그레이 (MK1A3KH/A),"3,374,690원"
애플 맥북프로 16인치 M1 Pro 16GB/512GB,"2,551,360원"
Apple 맥북 에어 13형 2020년 M1 CTO 256GB (16GB RAM),"1,494,000원"
Apple 맥북 프로 14 2023년 M2 Max 12코어 스페이스 그레이 (MPHG3KH/A),"3,889,990원"
Apple 맥북 에어 CTO 2022년 M2 (8 CPU 10 GPU)/16G/512G,"2,118,500원"
애플 맥북프로 14인치 M1 Pro 16GB/512GB,"2,143,200원"
Apple 맥북 프로 14형 2021년 M1 Pro 10코어 스페이스 그레이 (MKGQ3KH/A),"2,475,940원"
Apple 맥북 프로 16 2023년 M2 Pro 12코어 스페이스 그레이 (MNW93KH/A),"3,380,000원"
Apple 맥북 프로 14 2023년 M2 Pro 12코어 스페이스 그레이 (MPHF3KH/A),"3,141,000원"
애플 맥북프로 16인치 M1 Pro 16GB/512GB,"2,572,800원"
애플 맥북에어 13인치 M2 2022년 8코어 8GB/256GB,"1,382,400원"
Apple 맥북 에어 2020년형 M1 512G 스페이스 그레이 (MGN73KH/A),"1,607,890원"
Apple 맥북 프로 16형 2021년 M1 Pro 10코어 스페이스 그레이 (MK193KH/A),"2,904,000원"
Apple 맥북 프로 14형 2021년 M1 Pro 8코어 실버 (MKGR3KH/A),"2,286,500원"
Apple 맥북 프로 13형 2020년형 M1 512G 스페이스 그레이 (MYD92KH/A),"1,466,290원"
Apple 맥북 프로 16 2023년 M2 Max 12코어 실버 (MNWE3KH/A),"4,356,000원"
애플 2020 맥북 프로 13인치 M1 16GB 1TB 스페이스그레이,"1,890,000원"
